title,href,body,date,Platform
"NBACentral on Twitter: ""Ja Morant has been accused of allegedly beating ...",https://twitter.com/TheNBACentral/status/1631011462708711444,"Ja Morant has been accused of allegedly beating up a 17-year-old boy and pointing a gun at him, per @CandaceDBuckner ""The teenager told detectives from the Shelby County Sheriff's Office that, after the fight, Morant went into his house and re-emerged with a gun visible in the…",2023-03-01,Twitter
"𝖑𝖎𝖆𝖒 🌙 on Twitter: ""PLEASE HURRY AND SAVE THEM OR SOMETHING I WILL ...",https://twitter.com/Notfancy_/status/1631015229571342336,PLEASE HURRY AND SAVE THEM OR SOMETHING I WILL DELETE THEM IN LIKE 1 HOUR!! This is what u came for 🖤 https://krakenfiles.com/view/h7PSUfDQOy/file.html…,2023-03-01,Twitter
Mike Lee on Twitter,https://twitter.com/BasedMikeLee/status/1630787239427883008,"Zelensky very clearly argues that America will have to send its ""sons and daughters"" to the war and they ""will be fighting"" and ""dying.""",2023-03-01,Twitter
Ian Hudson 1️⃣4️⃣ (@ian_hudson14) / Twitter,https://twitter.com/ian_hudson14,C/O 2025 | 3 sport ATH 🏈🏀🏃🏾‍♂️5'9 | 150 | DB/WR | Will Rogers HS | GPA 3.5 | 40 yard: 4.4 ☎️918-633-1767 | HC @Levya73 | RC @CoachSmith918,2023-03-01,Twitter
Cassandra B.C. on Twitter,https://twitter.com/michaeljburry/status/1630967648841236487,"Easy to do for a guy worth a boatload. Oh, I guess that came later. Hmm, maybe something to the hard work, initiative, and determination pays off concept.",2023-03-01,Twitter
CHOQUEI on Twitter,https://twitter.com/choquei/status/1631002451879886865,"Hahahahahahaha, eu amo essa mulher, é uma lenda! Fabrica do real life! Julguem-me torcendo pra ela ️",2023-03-01,Twitter
Ian Hudson 1️⃣4️⃣ (@ian_hudson14) / Twitter,https://twitter.com/ian_hudson14,C/O 2025 | 3 sport ATH 🏈🏀🏃🏾‍♂️5'9 | 150 | DB/WR | Will Rogers HS | GPA 3.5 | 40 yard: 4.4 ☎️918-633-1767 | HC @Levya73 | RC @CoachSmith918,2023-03-02,Twitter
*CRYPTO. COM SUSPENDS US DOLLARS TRANSFER VIA SILVERGATE - Twitter,https://twitter.com/tier10k/status/1631343317198807040,*crypto. com suspends us dollars transfer via silvergate . 02 mar 2023 17:18:50,2023-03-02,Twitter
Twitter,https://twitter.com/TheRealOJ32/status/1631448226069979137/mediaviewer,ImmersiveMediaViewer,2023-03-02,Twitter
"METRO TV on Twitter: ""Ganjar Pranowo dan Prabowo Subianto jadi 'Putra ...",https://twitter.com/Metro_TV/status/1631288297162170368,Ganjar Pranowo dan Prabowo Subianto jadi 'Putra Mahkota' titipannya Presiden Joko Widodo? Saksikan #LambePolitikMetroTV hanya di youtube 'metrotvnews' #lambekulamislambemutipis #jokowi #ganjarpranowo #prabowosubianto .,2023-03-02,Twitter
"Mulyadi_Adi__ on Twitter: """"Yang bisa menyelesaikan persoalan petani ...",https://twitter.com/genx36545403/status/1631182758910529536,"""Yang bisa menyelesaikan persoalan petani menurut kami hanya pak Prabowo orangnya. Kami siap mendukung dan memenangkan Prabowo menjadi Presiden RI,"" jelas Ahmad Khotib.",2023-03-02,Twitter
"セレビィ量産型 on Twitter: ""でれら漫画『サボタージュ』 https://t.co/LeoXR79em0"" / Twitter",https://twitter.com/serebixi/status/1631203985184133120,寝台で横になる抗議行動)』だと思いたいです。. 酷いとプロダクション全体のストライキになりそうですね。. 霜月白夢 (デレステ•ポケモン•アイプラ・ブルリフS) @Hakumu_Simotuki. ·. 1h. Replying to. @serebixi. サボタージュ...担当Pとの魅惑のサボりタイム...,2023-03-02,Twitter
赤み on Twitter,https://twitter.com/adgjmptw123963/status/1631189052157464577,"""@KanenashiOpera_ 笑ってる女は丸田佳奈(医者です) 何で医者なのに怪我してるのを見て笑えるんですかね？ダルビッシュを担ぐ為に笑うのは分かるがメリハリぐらいつけろ""",2023-03-02,Twitter
Twitter,https://twitter.com/TheRealOJ32/status/1631448226069979137/mediaviewer,ImmersiveMediaViewer,2023-03-03,Twitter
Survei Litbang Kompas: Prabowo Subianto Capres dengan Pemilih ... - Twitter,https://twitter.com/Gerindra/status/1631533767222509568,Survei Litbang Kompas: Prabowo Subianto Capres dengan Pemilih Loyalis Tertinggi. 03 Mar 2023 05:55:37,2023-03-03,Twitter
human crazy on Twitter,https://twitter.com/Hum4nNeRr0R_/status/1631602796553437186,"""Sementara di kategori cawapres, tokoh teratas yakni Kepala KSP Moeldoko, diikuti Ketua Kadin Arsjad Rasjid dan Menparekraf Sandiaga Uno. #PrabowoUnggul #IkutPakde Prabowo Subianto""",2023-03-03,Twitter
"🇺🇦Ukrainian Front on Twitter: ""⚡️⚡️The 🇺🇸USA sent 90 Stryker combat ...",https://twitter.com/front_ukrainian/status/1631944373809082368,"⚡️⚡️The 🇺🇸USA sent 90 Stryker combat vehicles to 🇺🇦Ukraine, they have already arrived in 🇩🇪Germany, from where they will go to Ukraine.",2023-03-04,Twitter
Abdul Kholil on Twitter,https://twitter.com/dulbedul911/status/1631927765107871745,"""Muzani menyebut, Prabowo sebagai ketua umum sekaligus ketua dewan pembina partai sebetulnya memiliki hak dan kewenangan #PrabowoUnggul #IkutPakde Prabowo Subianto""",2023-03-04,Twitter
Abdul Kholil on Twitter,https://twitter.com/dulbedul911/status/1631928198610157568,"""Hal itu dinyatakan Prabowo usai bertemu dengan Ketua Umum Partai Nasdem, Surya Paloh Juni lalu. #PrabowoUnggul #IkutPakde Prabowo Subianto""",2023-03-04,Twitter
Kompas.com on Twitter,https://twitter.com/kompascom/status/1631893797033619457,Log in. Sign up,2023-03-04,Twitter
"detikcom on Twitter: ""Ketua Umum Partai Gerindra, Prabowo Subianto ...",https://twitter.com/detikcom/status/1632342416391847938,"Ketua Umum Partai Gerindra, Prabowo Subianto menghormati keputusan NasDem mengusung Anies Baswedan sebagai capres. Prabowo mengatakan siap menghadapi Anies di Pilpres 2024.",2023-03-05,Twitter
Anjani on Twitter,https://twitter.com/S_Anjania1/status/1632454269566865408,"""Selain Gubernur Jawa Barat Ridwan Kamil, nama Ketua Umum PKB Muhaimin Iskandar, Ketum Gerindra Prabowo Subianto hingga KSAD Jenderal Dudung Abdurahman mengemuka dalam forum diskusi bertajuk #BersamaJuara #RKGolkar""",2023-03-05,Twitter
"Radio Elshinta on Twitter: ""Pertemuan Ketua Umum Partai Nasdem, Surya ...",https://twitter.com/RadioElshinta/status/1632218092280619010,"Pertemuan Ketua Umum Partai Nasdem, Surya Paloh dengan Ketua Umum Partai Gerindra, Prabowo Subianto di Padepokan Garuda Yaksa, Desa Bojong Koneng, Bogor, Jawa Barat pada Minggu (5/3) siang ini, berbagai persiapan mulai dilakukan dilokasi pertemuan. 📽Arp #BeritaElshinta .",2023-03-05,Twitter
"Anjani on Twitter: ""Capres Partai Gerindra Prabowo Subianto menyatakan ...",https://twitter.com/S_Anjania1/status/1632453841710096384,"""Capres Partai Gerindra Prabowo Subianto menyatakan siap menjadi rival Anies Baswedan pada Pilpres 2024. #BersamaJuara #RKGolkar""",2023-03-05,Twitter
LIPUTAN6 on Twitter,https://twitter.com/liputan6dotcom/status/1632274899338424325,Sign up. See new Tweets,2023-03-05,Twitter
